Customer_ID,Full_Name,Email_Address,Country,State_Province,Preferred_Currency,Total_Revenue_2024_GHS
C1,Oluwatoyin Patton,oluwatoyinpatton@gmail.com,Nigeria,Rivers,GHS,9512.07
C2,Lauren Mitchell,laurenmitchell@gmail.com,Nigeria,Abuja,GHS,3553.6
C3,Akinyi Frederick,a_frederick1@gmaill.com,NI,Rivers,GHS,0.0
cust_4,Gifty Harrison,gifty.h@gmail.com,Nigeria,Abuja,GHS,12805.31
cust_5,Yewande Christian,yewande.c@gmail.com,Ghana,Greater Accra,GHS,3736.84
C6,Thato Barnett,ThaTo.b@gmail.com,Ghana,Central,USD,6957.04
C7,Jumoke Wilkerson,jumoke.w@yahoo.com,Ghana,Greater Accra,USD,0.0
C8,Ijeoma Garcia,ijeomagarcia@yahoo.com,Ghana,Kumasi,GHS,13033.35
cust_9,Luna Smith,Luna.s@gmail.com,Nigeria,Abuja,GHS,0.0
C10,Akua Meyer,AkuAmeyer@gmaill.com,Nigeria,Kano,GHS,0.0
cust_11,Zanele Johnson,zanele.j@gmail.com,Nigeria,Rivers,GHS,0.0
cust_12,Ava Kennedy,a_kennedy10@gmaill.com,Ghana,Kumasi,GHS,9207.04
C13,Zandile Malone,zandile.m@yahoo.com,Nigeria,Kano,GHS,0.0
C14,Willow Hernandez,willow94@gmail.com,Ghana,Kumasi,GHS,2098.12
cust_15,Fatima Decker,f_decker2@outlook.com,Ghana,Central,GHS,12180.76
C16,Sophia Evans,sophiaevans@outlook.com,South Africa,Western Cape,GHS,5975.23
C17,Mansa Jackson,m_jackson5@gmail.com,Kenya,Mombasa,GHS,0.0
cust_18,Akweley Dixon,akweley.d@gmail.com,Nigeria,Rivers,GHS,11956.42
C19,Busisiwe Trevino,busisiwetrevino@gmail.com,Nigeria,Lagos State,GHS,9024.6
cust_20,Akweley Price,a.price@gmail.com,Nigeria,Abuja,GHS,0.0
C520,Isabella Mann,a.price@gmail.com,Nigeria,Rivers,GHS,0.0
C22,Jessica Adams,Jessicaadams@gmail.com,Ghana,Accra,USD,8849.69
